Utstein Data Element,Formula,Variables to collect
Number of “immediate category” survivors in the ED resuscitation rooms or equivalent at 15 minutes interval after initiation of the response,,Number of T1 survivors arrived in the ED resuscitation rooms or equivalent after the following minutes of the activation of the DMMP: | 0 minutes | 15 minutes | 30 minutes | 45 minutes | 60 minutes | etc. | Time point of resuscitation room use for each T1 survivor | Time point of the activation of the DMMP
Percentage of ED resuscitation rooms used simultaneously for “immediate category” survivors at 15 minutes intervals after initiation of the response,"Where: | t = 15-minute time interval (e.g., 15 minutes, 30 minutes, 45 minutes, etc.)",Number of resuscitation rooms used for T1 survivors after the following minutes of the activation of the DMMP: | 0 minutes | 15 minutes | 30 minutes | 45 minutes | 60 minutes | etc. | Time point of resuscitation room use for each T1 survivor | Total number of resuscitation rooms in the ED | Time point of the activation of the DMMP
Hospital resources utilization,Hospital resources utilization,Hospital resources utilization
Time point of the first surgical intervention of a critically injured survivor,,DD:HH:MM of first surgical intervention of a critically injured survivor
Time point of the last surgical intervention of a critically injured survivor,,DD:HH:MM of last surgical intervention of a critically injured survivor
Mean duration of surgical intervention for critically injured survivors,OR,Time point of the surgery start time for each critically injured survivor | Time point of the surgery end time for each critically injured survivor | Total number of critically injured survivors who had surgery
"The numbers of “immediate category” injured survivors in operating rooms at 30 minutes intervals, after initiation of the response",,Number of T1 survivors sent to operating rooms after the following minutes of the activation of the DMMP: | 0 minutes | 30 minutes | 60 minutes | etc. | Time point of the operating room use of each T1 survivor | Time point of the activation of the DMMP
"The percentage of operating rooms used simultaneously for “immediate category” injured survivors at 30 minutes intervals, after initiation of the response","Where: | t = 30-minute time interval (e.g., 30 minutes, 60 minutes, etc.)","Number of operating rooms used for T1 survivors after the following minutes of the activation of the DMMP: | 0 minutes | 30 minutes | 60 minutes | etc. | Time point of the initiation of each operating room use (operating room-centered, not patient-centered) | Total number of operating rooms | Time point of the activation of the DMMP"
"The number of “immediate” and “delayed” survivors admitted to the ED, requiring plain radiography at 30 minutes intervals after initiation of the response",,Number of T1 survivors admitted to the ED requiring X-ray after the following minutes of the activation of the DMMP: | 0 minutes | 30 minutes | 60 minutes | etc. | Number of T2 survivors admitted to the ED requiring X-ray after the following minutes of the activation of the DMMP: | 0 minutes | 30 minutes | 60 minutes | etc. | Time point of X-ray use for each T1 and T2 survivor | Time point of the activation of the DMMP
"The number of “immediate” and “delayed” survivors admitted to the ED, requiring ultrasonography at 30 minutes intervals after initiation of the response",,Number of T1 survivors admitted to the ED requiring ultrasound after the following minutes of the activation of the DMMP: | 0 minutes | 30 minutes | 60 minutes | etc. | Number of T2 survivors admitted to the ED requiring ultrasound after the following minutes of the activation of the DMMP: | 0 minutes | 30 minutes | 60 minutes | etc. | Time point of ultrasound use for each T1 and T2 survivor | Time point of the activation of the DMMP
